Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Yaritagua,Venezuela,Latin America and the Caribbean ,68.06,UN-Habitat Urban Indicators Database,1286
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Yiyang, Hunan",China,Eastern and South-Eastern Asia,53.57,UN-Habitat Urban Indicators Database,1287
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",York,United Kingdom,Northern America and Europe,97.7,European Commission DG REGIO,1288
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Yucheng, Zhejiang",China,Eastern and South-Eastern Asia,12.9,UN-Habitat Urban Indicators Database,1289
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zadar,Croatia,Northern America and Europe,80.77,European Commission DG REGIO,1290
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thatcham,United Kingdom,Northern America and Europe,94.02,European Commission DG REGIO,1291
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Warrington,United Kingdom,Northern America and Europe,94.44,European Commission DG REGIO,1292
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Warsaw,Poland,Northern America and Europe,93.52,European Commission DG REGIO,1293
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zgierz,Poland,Northern America and Europe,91.64,European Commission DG REGIO,1294
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thessaloniki,Greece,Northern America and Europe,98.8,European Commission DG REGIO,1295
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Warwick,United Kingdom,Northern America and Europe,95.89,European Commission DG REGIO,1296
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Zhengzhou, Henan",China,Eastern and South-Eastern Asia,43.73,UN-Habitat Urban Indicators Database,1297
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thies,Senegal,Sub-Saharan Africa,35.51,UN-Habitat Urban Indicators Database,1298
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Washington,United Kingdom,Northern America and Europe,92.3,European Commission DG REGIO,1299
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Zhuji, Zhejiang",China,Eastern and South-Eastern Asia,41.84,UN-Habitat Urban Indicators Database,1300
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thimphu,Bhutan,Central and Southern Asia ,33.46,UN-Habitat Urban Indicators Database,1301
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Waveney,United Kingdom,Northern America and Europe,96.36,European Commission DG REGIO,1302
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Zielona Góra,Poland,Northern America and Europe,92.62,European Commission DG REGIO,1303
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valledupar,Colombia,Latin America and the Caribbean ,14.36,UN-Habitat Urban Indicators Database,1304
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Wellington,New Zealand,Australia and New Zealand ,97.67,UN-Habitat Urban Indicators Database,1305
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tipitapa,Nicaragua,Latin America and the Caribbean ,38.93,UN-Habitat Urban Indicators Database,1306
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ziguinchor,Senegal,Sub-Saharan Africa,22.39,UN-Habitat Urban Indicators Database,1307
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thoothukkudi,India,Central and Southern Asia ,9.94,UN-Habitat Urban Indicators Database,1308
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thun,Switzerland,Northern America and Europe,96.62,European Commission DG REGIO,1309
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Thurrock,United Kingdom,Northern America and Europe,89.76,European Commission DG REGIO,1310
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Tianjin,  Tianjin",China,Eastern and South-Eastern Asia,54.88,UN-Habitat Urban Indicators Database,1311
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tiaret,Algeria,Western Asia  and Northern Africa ,38.42,UN-Habitat Urban Indicators Database,1312
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tijuana,Mexico,Latin America and the Caribbean ,5.92,UN-Habitat Urban Indicators Database,1313
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tilburg,Netherlands,Northern America and Europe,92.39,European Commission DG REGIO,1314
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Singapore,Singapore,Eastern and South-Eastern Asia,94.2,UN-Habitat Urban Indicators Database,1315
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valletta,Malta,Northern America and Europe,97.28,European Commission DG REGIO,1316
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Singrauli,India,Central and Southern Asia ,24.34,UN-Habitat Urban Indicators Database,1317
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Valparaíso,Chile,Latin America and the Caribbean ,88.98,UN-Habitat Urban Indicators Database,1318
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sinjah,Sudan,Western Asia  and Northern Africa ,5.6,UN-Habitat Urban Indicators Database,1319
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Varamin,Iran,Central and Southern Asia ,20.87,UN-Habitat Urban Indicators Database,1320
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sinuiju ,Democratic People's Republic of Korea (North Korea),Eastern and South-Eastern Asia,9.78,UN-Habitat Urban Indicators Database,1321
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Varna,Bulgaria,Northern America and Europe,63.68,UN-Habitat Urban Indicators Database,1322
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Siracusa,Italy,Northern America and Europe,97.46,European Commission DG REGIO,1323
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Varna,Bulgaria,Northern America and Europe,88,European Commission DG REGIO,1324
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Täby,Sweden,Northern America and Europe,80.79,European Commission DG REGIO,1325
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Tyumen,Russia,Northern America and Europe,81.69,European Commission DG REGIO,1326
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Southampton,United Kingdom,Northern America and Europe,96.93,European Commission DG REGIO,1327
